,compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
140,CsTmBr3,1706446,-1.77260873,-1.6018393359999998,-1.7752393359999998,-1.792639336,-0.02003060599999995
141,CsTmCl3,6022,-2.09538795,-1.8886296640000002,-2.1016296640000003,-2.120229664,-0.024841713999999904
142,CsTmF3,1706448,-3.22090751,-3.046701356,-3.1889013559999997,-3.207501356,0.013406154000000114
143,CsTmI3,1706449,-1.31841019,-1.2238053240000006,-1.3228053240000004,-1.3372053240000004,-0.018795134000000324
144,CsVBr3,1706431,-1.33656886,-1.1834157679999997,-1.3568157680000001,-1.3780157680000005,-0.04144690800000039
145,CsVCl3,1706450,-1.65240357,-1.4647052179999998,-1.6777052179999998,-1.7001052180000005,-0.04770164800000054
146,CsVF3,1440783,-2.77970213,-2.3266624700000005,-2.4688624700000004,-2.4912624700000006,0.28843965999999943
147,CsVI3,1709172,-0.8908545,-0.8117402279999997,-0.9107402279999999,-0.9289402280000001,-0.038085728000000096
148,CsYBr3,1711878,-1.83577817,-1.6650936559999998,-1.8384936560000003,-1.8540936560000003,-0.018315486000000325
149,CsYCl3,1711936,-2.14759698,-1.9435785499999998,-2.15657855,-2.1733785500000002,-0.025781570000000364
150,CsYF3,1713487,-3.22009499,-3.0603856700000005,-3.2025856700000004,-3.2193856700000003,0.0007093199999999023
151,CsYbBr3,13928,-2.22916085,-2.0475626159999996,-2.220962616,-2.311162616,-0.08200176599999986
152,CsYbCl3,6023,-2.5690885,-2.35257467,-2.56557467,-2.65697467,-0.08788616999999999
153,CsYbF3,646363,-3.87745172,-3.7041006160000003,-3.846300616,-3.937700616,-0.06024889600000005
154,CsYbI3,1706455,-1.73156277,-1.623968382,-1.7229683819999997,-1.8101683819999996,-0.0786056119999996
155,CsZnBr3,1709210,-1.37284881,-1.167852904,-1.341252904,-1.375652904,-0.0028040940000000347
156,CsZnCl3,1709265,-1.64398591,-1.4021608520000002,-1.6151608520000003,-1.6507608520000001,-0.0067749420000000615
157,CsZnF3,1347968,-2.71307608,-2.5026490700000004,-2.6448490700000002,-2.68044907,0.03262701000000012
158,CsZnI3,1711870,-0.96216313,-0.8337432160000007,-0.9327432160000004,-0.9641432160000003,-0.001980086000000325
159,CuCdF3,1714541,-1.50598517,-1.2925963380000003,-1.4347963380000002,-1.4353963379999999,0.0705888320000001
160,CuCoF3,1714537,-1.36824049,-1.1818554799999994,-1.3240554799999993,-1.3192554799999994,0.04898501000000066
161,CuHgF3,1718060,-0.98335529,-0.7866640839999999,-0.9132640839999999,-0.9064640839999998,0.07689120600000021
162,CuMgF3,1718064,-2.53350283,-2.3246144380000002,-2.466814438,-2.484614438,0.04888839200000028
163,CuMnF3,1714545,-1.76400458,-1.5753228860000004,-1.7175228860000002,-1.736122886,0.027881693999999957
164,CuNiF3,1718061,-1.34709698,-1.1460043880000002,-1.288204388,-1.277004388,0.07009259200000018
165,CuTmF3,1718067,-2.87338605,-2.6975717080000003,-2.8397717080000002,-2.837371708,0.03601434200000009
166,CuYbF3,1722764,-2.72990706,-2.565633204,-2.707833204,-2.7782332039999997,-0.04832614399999979
167,CuZnCl3,1722766,-0.52646606,-0.28419359600000016,-0.4971935959999998,-0.5117935960000002,0.014672463999999774
