compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
CsCdCl3,1345809,-1.69702521,-1.453635282,-1.666635282,-1.688235282,0.008789928
CsSmF3,1706459,-3.2219087,-3.034775314,-3.176975314,-3.212575314,0.009333386
KLaBr3,1728471,-1.81002091,-1.619667388,-1.793067388,-1.800667388,0.009353522
RbZnI3,1711976,-0.91969091,-0.785678144,-0.884678144,-0.910278144,0.009412766
KCoI3,1722774,-0.55058578,-0.43018717,-0.52918717,-0.54098717,0.00959861
InGeCl3,1728506,-0.99965859,-0.742294924,-0.955294924,-0.989494924,0.010163666
CsDyBr3,1706422,-1.81680469,-1.631875218,-1.805275218,-1.806275218,0.010529472
RbLaBr3,1722786,-1.85151775,-1.66554935,-1.83894935,-1.84094935,0.0105684
InCrBr3,1549129,-0.82315136,-0.617540902,-0.790940902,-0.812540902,0.010610458
CsRhI3,1706398,-0.69763335,-0.588385212,-0.687385212,-0.686985212,0.010648138
KLaI3,1722778,-1.36845931,-1.253923822,-1.352923822,-1.357523822,0.010935488
CsMgF3,646366,-3.40771293,-3.215682868,-3.357882868,-3.396682868,0.011030062
KMoF3,1711909,-2.05355679,-1.901278548,-2.043478548,-2.042478548,0.011078242
KSrF3,1384841,-3.55645559,-3.362493164,-3.504693164,-3.545093164,0.011362426
InPdBr3,1728488,-0.62838028,-0.434755056,-0.608155056,-0.616755056,0.011625224
RbLaI3,1709300,-1.41599033,-1.305903242,-1.404903242,-1.403903242,0.012087088
CsDyI3,1706396,-1.36848102,-1.259258236,-1.358258236,-1.356258236,0.012222784
RbSrF3,1344546,-3.5850041,-3.395520046,-3.537720046,-3.572520046,0.012484054
NaCoCl3,1725942,-1.1185436,-0.877567512,-1.108767512,-1.105967512,0.012576088
CsCdBr3,1706428,-1.44602544,-1.239455752,-1.412855752,-1.433255752,0.012769688
InCF3,1731055,-0.46822343,-0.264495984,-0.406695984,-0.455095984,0.013127446
CsTmF3,1706448,-3.22090751,-3.046701356,-3.188901356,-3.207501356,0.013406154
CsNdF3,1706447,-3.23866366,-3.05592395,-3.19812395,-3.22512395,0.01353971
CsCdI3,1709173,-1.050527,-0.920488824,-1.019488824,-1.036888824,0.013638176
CsNiBr3,1575196,-1.04922416,-0.853446426,-1.026846426,-1.035446426,0.013777734
CsMoF3,1711954,-2.13958089,-1.984174646,-2.126374646,-2.125574646,0.014006244
NaZnCl3,1725951,-1.47109433,-1.209126284,-1.440326284,-1.456926284,0.014168046
RbMoF3,1711913,-2.06222983,-1.912016178,-2.054216178,-2.047616178,0.014613652
RbPtI3,1711981,-0.71440908,-0.618167024,-0.717167024,-0.699767024,0.014642056
InGeBr3,1728487,-0.76871922,-0.547659984,-0.721059984,-0.754059984,0.014659236
CuZnCl3,1722766,-0.52646606,-0.284193596,-0.497193596,-0.511793596,0.014672464
CsHgCl3,1383702,-1.37405126,-1.147647338,-1.345047338,-1.359247338,0.014803922
LiCoF3,1711900,-2.17823609,-1.991849802,-2.134049802,-2.163249802,0.014986288
NaPrF3,1711860,-3.22844302,-3.028602566,-3.189002566,-3.213402566,0.015040454
LiMgF3,1713232,-3.34943296,-3.140373146,-3.282573146,-3.334373146,0.015059814
KDyCl3,1725989,-2.05275976,-1.822600142,-2.035600142,-2.037600142,0.015159618
KNiCl3,1549230,-1.2955403,-1.057721336,-1.270721336,-1.280321336,0.015218964
NaVF3,11333,-2.72841141,-2.549307418,-2.709707418,-2.713107418,0.015303992
KRhBr3,1728492,-0.95326146,-0.762156874,-0.935556874,-0.937956874,0.015304586
KPdF3,13108,-2.09003774,-1.922872438,-2.065072438,-2.074672438,0.015365302
CsCrF3,1706425,-2.69401603,-2.513572834,-2.655772834,-2.678572834,0.015443196
CsSnCl3,5451,-1.68660515,-1.430491362,-1.665891362,-1.671091362,0.015513788
RbCaF3,1345106,-3.70971769,-3.504218532,-3.646418532,-3.694018532,0.015699158
CsTiF3,1706465,-2.98391523,-2.797313174,-2.952313174,-2.968113174,0.015802056
CsAgCl3,1547067,-1.30277127,-1.076928544,-1.289928544,-1.286728544,0.016042726
RbRhBr3,1718042,-0.97217997,-0.785571484,-0.958971484,-0.955771484,0.016408486
